Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,32,29.7,3.40,15,541,484,51,104,27,2,8,48,2,3,45,110,.215,.290,.329,.619,73,159,13,8,0,4,1,94
ATL,36,27.4,4.93,15,552,491,74,111,29,0,19,72,8,2,53,161,.226,.306,.401,.707,93,197,10,5,0,3,2,90
BAL,32,26.7,4.64,14,524,465,65,115,29,1,21,63,7,3,44,112,.247,.321,.449,.770,117,209,7,8,3,4,1,94
BOS,32,27.6,4.14,14,526,478,58,116,27,0,18,54,3,2,41,126,.243,.310,.412,.723,99,197,10,6,1,0,1,96
CHC,32,27.6,5.00,13,491,428,65,102,21,1,19,61,3,1,47,132,.238,.332,.425,.757,112,182,11,14,0,2,0,89
CHW,39,27.6,4.33,15,578,526,65,140,24,0,19,58,4,1,41,142,.266,.326,.420,.746,112,221,13,7,0,3,0,114
CIN,35,29.2,4.27,15,543,464,64,93,20,1,21,63,7,4,65,125,.200,.314,.384,.697,92,178,8,12,0,1,1,95
CLE,32,27.7,3.38,16,572,491,54,96,10,1,13,49,2,3,70,147,.196,.308,.299,.607,71,147,15,10,0,1,2,101
COL,29,29.1,5.50,14,533,471,77,126,18,2,20,75,6,2,51,112,.268,.335,.442,.776,105,208,9,0,3,7,1,93
DET,33,28.8,5.50,12,440,394,66,94,17,2,21,62,3,0,35,130,.239,.307,.452,.759,112,178,8,6,0,5,0,65
HOU,36,29.1,5.29,14,582,508,74,120,28,2,17,73,8,1,60,118,.236,.325,.400,.725,102,203,12,9,1,4,3,106
KCR,37,28.0,4.38,16,595,552,70,142,35,2,20,68,11,6,31,135,.257,.304,.437,.740,107,241,8,7,2,3,0,99
LAA,36,28.9,4.60,15,583,508,69,107,19,2,23,68,5,0,63,129,.211,.302,.392,.694,97,199,7,6,0,6,4,101
LAD,33,28.4,5.40,15,598,526,81,123,25,3,27,78,4,1,57,114,.234,.320,.447,.767,117,235,5,11,1,2,1,109
MIA,45,29.3,4.44,9,316,279,40,65,11,3,11,37,6,2,29,76,.233,.310,.412,.722,106,115,7,4,0,4,0,51
MIL,33,29.3,3.58,12,453,395,43,83,16,1,10,43,3,2,45,132,.210,.305,.332,.636,80,131,13,10,0,3,3,80
MIN,34,29.1,5.07,15,545,482,76,112,14,0,25,75,2,2,50,123,.232,.312,.417,.729,106,201,6,8,0,5,2,84
NYM,37,27.9,4.13,15,590,513,62,130,18,2,16,61,8,2,58,139,.253,.342,.390,.732,114,200,12,14,0,5,1,126
NYY,35,28.6,5.07,15,525,463,76,118,17,0,27,74,6,2,50,127,.255,.337,.467,.803,126,216,13,8,0,2,1,91
OAK,30,27.9,4.27,15,566,483,64,103,13,3,18,62,8,2,65,154,.213,.319,.364,.684,99,176,13,12,2,4,1,99
PHI,30,29.0,5.00,8,292,253,40,62,10,2,12,36,2,1,38,49,.245,.346,.443,.789,121,112,5,1,0,0,0,57
PIT,37,27.6,4.20,15,557,506,63,106,16,1,15,60,5,3,43,127,.209,.273,.334,.607,73,169,6,2,3,3,0,76
SDP,32,26.4,5.13,15,553,488,77,113,22,6,23,75,20,3,57,136,.232,.319,.443,.762,118,216,9,6,1,0,3,83
SEA,34,26.8,3.81,16,593,535,61,118,27,3,13,58,16,3,50,150,.221,.294,.355,.649,90,190,9,6,1,1,2,103
SFG,36,30.1,4.44,16,596,536,71,136,24,4,18,68,5,2,47,131,.254,.317,.414,.731,109,222,19,6,0,7,1,99
STL,26,29.6,3.60,5,171,157,18,34,4,2,6,18,1,1,11,44,.217,.281,.382,.663,88,60,2,3,0,0,0,24
TBR,32,27.7,4.07,15,533,464,61,95,26,5,11,57,3,1,62,141,.205,.304,.353,.657,89,164,9,5,0,2,0,91
TEX,36,29.1,3.23,13,464,411,42,83,18,3,12,41,14,3,46,106,.202,.287,.348,.635,81,143,8,4,0,3,1,83
TOR,35,25.5,3.00,12,446,406,36,90,17,1,13,35,9,4,36,98,.222,.283,.365,.647,86,148,8,0,0,4,1,80
WSN,31,30.1,3.00,11,377,346,33,81,17,2,9,32,3,5,25,82,.234,.289,.373,.662,83,129,9,3,0,3,2,62